,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
674,negative regulation of protein import into nucleus (GO:0042308),GO:0042308,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,regulation of protein import into nucleus,
675,regulation of viral entry into host cell (GO:0046596),GO:0046596,biological regulation,regulation of biological process,regulation of biological process involved in symbiotic interaction,regulation of viral life cycle,,,,
676,regulation of Ras protein signal transduction (GO:0046578),GO:0046578,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of intracellular signal transduction,regulation of small GTPase mediated signal transduction,,
677,negative regulation of microtubule polymerization (GO:0031115),GO:0031115,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of supramolecular fiber organization,regulation of microtubule polymerization,negative regulation of cytoskeleton organization,
678,neuron apoptotic process (GO:0051402),GO:0051402,cellular process,cell death,neuron death,apoptotic process,,,,
679,negative regulation of inclusion body assembly (GO:0090084),GO:0090084,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component biogenesis,regulation of inclusion body assembly,,,
680,"synaptic transmission, glutamatergic (GO:0035249)",GO:0035249,biological regulation,regulation of biological process,cell-cell signaling,synaptic signaling,trans-synaptic signaling,anterograde trans-synaptic signaling,chemical synaptic transmission,
681,glycogen metabolic process (GO:0005977),GO:0005977,cellular process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,glucan metabolic process,,,
682,calcium-mediated signaling (GO:0019722),GO:0019722,biological regulation,regulation of biological process,intracellular signal transduction,second-messenger-mediated signaling,,,,
683,phospholipid transport (GO:0015914),GO:0015914,localization,establishment of localization,transport,organic substance transport,organophosphate ester transport,,,
684,axon development (GO:0061564),GO:0061564,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,,
685,cellular response to osmotic stress (GO:0071470),GO:0071470,cellular process,response to abiotic stimulus,cellular response to environmental stimulus,cellular response to chemical stress,,,,
686,positive regulation of synapse assembly (GO:0051965),GO:0051965,biological regulation,regulation of biological process,regulation of developmental process,positive regulation of cellular process,regulation of synapse organization,regulation of synapse assembly,,
687,positive regulation of cytokine-mediated signaling pathway (GO:0001961),GO:0001961,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to cytokine stimulus,positive regulation of cell communication,,,
688,carboxylic acid biosynthetic process (GO:0046394),GO:0046394,cellular process,biosynthetic process,organic acid metabolic process,organic acid biosynthetic process,carboxylic acid metabolic process,,,
689,positive regulation of insulin secretion (GO:0032024),GO:0032024,biological regulation,regulation of biological process,regulation of signaling,regulation of cellular localization,regulation of protein localization,regulation of peptide secretion,,
690,mitochondrial respiratory chain complex I assembly (GO:0032981),GO:0032981,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,mitochondrial respiratory chain complex assembly,,
691,RNA methylation (GO:0001510),GO:0001510,cellular process,methylation,organic cyclic compound metabolic process,macromolecule modification,RNA metabolic process,,,
692,"heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0015014)",GO:0015014,metabolic process,biosynthetic process,macromolecule metabolic process,macromolecule biosynthetic process,polysaccharide biosynthetic process,,,
693,regulation of monocyte differentiation (GO:0045655),GO:0045655,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell differentiation,regulation of leukocyte differentiation,regulation of myeloid leukocyte differentiation,,
694,regulation of synaptic vesicle cycle (GO:0098693),GO:0098693,biological regulation,regulation of biological process,regulation of cellular process,regulation of transport,,,,
695,ERBB2 signaling pathway (GO:0038128),GO:0038128,biological regulation,regulation of biological process,cell surface receptor signaling pathway,enzyme-linked receptor protein signaling pathway,transmembrane receptor protein tyrosine kinase signaling pathway,ERBB signaling pathway,,
696,sterol homeostasis (GO:0055092),GO:0055092,homeostatic process,chemical homeostasis,lipid homeostasis,,,,,
697,regulation of cardiac muscle cell proliferation (GO:0060043),GO:0060043,biological regulation,regulation of biological process,regulation of cellular process,regulation of organ growth,regulation of heart growth,regulation of cardiac muscle tissue growth,,
698,regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter (GO:1901836),GO:1901836,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,regulation of nucleic acid-templated transcription,
699,positive regulation of biosynthetic process (GO:0009891),GO:0009891,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,,,,
700,positive regulation of cardiac muscle hypertrophy (GO:0010613),GO:0010613,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of system process,regulation of cardiac muscle hypertrophy,regulation of muscle hypertrophy,,
701,regulation of neurotransmitter secretion (GO:0046928),GO:0046928,biological regulation,regulation of biological process,regulation of neurotransmitter levels,regulation of secretion by cell,regulation of secretion,,,
702,"neurotransmitter receptor transport, postsynaptic endosome to lysosome (GO:0098943)",GO:0098943,cellular process,cellular localization,cellular macromolecule localization,vacuolar transport,lysosomal transport,protein localization to vacuole,protein localization to lysosome,
703,regulation of anoikis (GO:2000209),GO:2000209,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell death,regulation of programmed cell death,regulation of apoptotic process,,
704,phospholipid translocation (GO:0045332),GO:0045332,biological regulation,establishment of localization,transport,organic substance transport,organophosphate ester transport,phospholipid transport,,
705,negative regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902894),GO:1902894,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,negative regulation of miRNA metabolic process,negative regulation of nucleic acid-templated transcription
706,positive regulation of phosphoprotein phosphatase activity (GO:0032516),GO:0032516,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of protein metabolic process,regulation of phosphoprotein phosphatase activity,regulation of protein dephosphorylation,positive regulation of dephosphorylation
707,cyclic purine nucleotide metabolic process (GO:0052652),GO:0052652,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleotide metabolic process,cyclic nucleotide metabolic process,,
708,regulation of T cell differentiation (GO:0045580),GO:0045580,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell activation,regulation of leukocyte differentiation,regulation of T cell activation,,
709,cytoplasmic translation (GO:0002181),GO:0002181,cellular process,primary metabolic process,organic substance biosynthetic process,peptide metabolic process,peptide biosynthetic process,,,
710,regulation of NMDA receptor activity (GO:2000310),GO:2000310,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of transport,regulation of monoatomic ion transmembrane transporter activity,,,
711,positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001269),GO:2001269,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of metabolic process,regulation of protein metabolic process,regulation of proteolysis,positive regulation of endopeptidase activity,positive regulation of cysteine-type endopeptidase activity
712,regulation of monooxygenase activity (GO:0032768),GO:0032768,biological regulation,regulation of molecular function,regulation of catalytic activity,regulation of oxidoreductase activity,,,,
713,regulation of axon extension involved in axon guidance (GO:0048841),GO:0048841,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell growth,regulation of extent of cell growth,,,
