,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
165,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972),GO:0000972,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,chromosome organization,,,
166,regulation of microtubule polymerization or depolymerization (GO:0031110),GO:0031110,biological regulation,regulation of biological process,regulation of cellular process,regulation of microtubule-based process,regulation of microtubule cytoskeleton organization,regulation of cytoskeleton organization,,
167,neuron projection regeneration (GO:0031102),GO:0031102,developmental process,anatomical structure development,cellular response to stress,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,,
168,negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732),GO:0050732,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of protein metabolic process,negative regulation of protein metabolic process,regulation of protein phosphorylation,regulation of peptidyl-tyrosine phosphorylation
169,mitochondrial fusion (GO:0008053),GO:0008053,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle fusion,,,
170,positive regulation of cytokinesis (GO:0032467),GO:0032467,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell cycle,positive regulation of cell division,positive regulation of cell cycle process,,
171,"SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)",GO:0006616,cellular process,cellular localization,cellular macromolecule localization,protein localization,,,,
172,transcription elongation from RNA polymerase I promoter (GO:0006362),GO:0006362,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,DNA-templated transcription elongation,,
173,mismatch repair (GO:0006298),GO:0006298,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
174,DNA topological change (GO:0006265),GO:0006265,cellular process,primary metabolic process,organic cyclic compound metabolic process,organelle organization,DNA metabolic process,DNA conformation change,,
175,regulation of rRNA processing (GO:2000232),GO:2000232,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,,,
176,positive regulation of cytokine production involved in immune response (GO:0002720),GO:0002720,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,positive regulation of macromolecule metabolic process,positive regulation of production of molecular mediator of immune response,,
177,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",GO:0000462,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing
178,negative regulation of amyloid-beta formation (GO:1902430),GO:1902430,biological regulation,regulation of biological process,negative regulation of biological process,regulation of nitrogen compound metabolic process,negative regulation of macromolecule metabolic process,regulation of amyloid-beta formation,negative regulation of amyloid precursor protein catabolic process,
179,positive regulation of cation transmembrane transport (GO:1904064),GO:1904064,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,positive regulation of transmembrane transport,positive regulation of monoatomic ion transmembrane transport,,
180,regulation of telomerase RNA localization to Cajal body (GO:1904872),GO:1904872,biological regulation,regulation of biological process,regulation of localization,,,,,
181,negative regulation of JNK cascade (GO:0046329),GO:0046329,biological regulation,regulation of biological process,regulation of signaling,negative regulation of cellular process,regulation of stress-activated protein kinase signaling cascade,negative regulation of stress-activated protein kinase signaling cascade,negative regulation of MAPK cascade,
182,negative regulation of vascular smooth muscle cell proliferation (GO:1904706),GO:1904706,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell population proliferation,regulation of smooth muscle cell proliferation,regulation of vascular associated smooth muscle cell proliferation,,
183,positive regulation of neuron differentiation (GO:0045666),GO:0045666,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell differentiation,regulation of neuron differentiation,,,
184,regulation of cardiac muscle cell contraction (GO:0086004),GO:0086004,biological regulation,regulation of biological process,regulation of cellular process,regulation of system process,regulation of blood circulation,regulation of muscle contraction,regulation of striated muscle contraction,
